disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
matched,LANANY,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.809742,45.552835,yes,yes,Lanany,Antanimora Atsimo,Construction,107.9,no,,7936.8,within 108 m of 111-list site 'Lanany'
matched,MAMPANARIVO,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-21.681109,43.716772,yes,yes,Mampanarivo,MOROMBE,Construction,0.1,no,,106275.5,within 0 m of 111-list site 'Mampanarivo'
matched,MANDILY,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-25.013947,45.506088,yes,yes,Andombiry,Beloha,Construction,5.1,no,,9676.1,within 5 m of 111-list site 'Andombiry'
matched,MANGOTRAKA CENTRE,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.175517,43.839483,yes,yes,MANGOTRAKA CENTRE,MOROMBE,Construction,0.0,no,,72261.4,within 0 m of 111-list site 'MANGOTRAKA CENTRE'
matched,MANOMBIKA,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.235275,43.809038,yes,yes,MANOMBIKA,MOROMBE,Construction,0.4,no,,74457.0,within 0 m of 111-list site 'MANOMBIKA'
matched,MIARY CENTRE,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-23.427956,45.094798,yes,yes,MIARY CENTRE,BENENITRA,Construction,0.2,no,,49410.4,within 0 m of 111-list site 'MIARY CENTRE'
matched,SOAVARY,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-21.708238,43.736738,yes,yes,Soavary,MOROMBE,Construction,6.2,no,,102855.9,within 6 m of 111-list site 'Soavary'
matched,VATOARIVO I,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.563831,45.435532,yes,yes,Vatoarivo I,Bekily,Construction,1.3,no,,11751.4,within 1 m of 111-list site 'Vatoarivo I'
matched,VOHIBOLA (ABBREVOIR),2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.709247,45.112666,yes,yes,Vohibola,Beloha,Construction,2.8,no,,4757.1,within 3 m of 111-list site 'Vohibola'
matched,VOHITSOSY,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.566423,45.20306,yes,yes,Vohitsosy,Bekily,Construction,4.0,no,,6882.0,within 4 m of 111-list site 'Vohitsosy'
matched,ANADABOLAVA ANTANANDAVA,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.076953,45.383675,yes,yes,ANTANANDAVA CENTRE,BEKILY,Construction,20.5,no,,27022.7,within 20 m of 111-list site 'ANTANANDAVA CENTRE'
