disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
matched,SAKAVIRO NORD,SNC,SNC (MUS COMMUNAUTAIRE ETUDE 16),-24.790683,45.313743,yes,yes,SAKAVIRO NORD,Beloha,DEX/PGES,0.4,no,,15444.7,within 0 m of 111-list site 'SAKAVIRO NORD'
matched,SAKAVIRO SUD,SNC,SNC (MUS COMMUNAUTAIRE ETUDE 16),-24.797868,45.320255,yes,yes,SAKAVIRO SUD,Beloha,DEX/PGES,0.0,no,,16282.1,within 0 m of 111-list site 'SAKAVIRO SUD'
new,(unnamed),2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-23.45226,43.89173,yes,no,,,,982.1,no,,127245.7,no 111-list site within 250 m; nearest 'Ampare' at 982 m
new,ANDRAGNANIVO,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-25.051414,45.598084,yes,no,,,,410.0,no,,15975.5,no 111-list site within 250 m; nearest 'Andragnanivo Centre' at 410 m
new,ANJAPOHY,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.779597,45.245856,yes,no,,,,6963.0,no,,8502.3,no 111-list site within 250 m; nearest 'SAKAVIRO NORD' at 6963 m
new,MANAKOMPY,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.319461,45.391636,yes,no,,,,25914.4,yes,1225560807,55.6,no 111-list site within 250 m; nearest 'ANTSELY TOBY CENTRE' at 25914 m
new,(unnamed),EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.22765,45.512433,yes,no,,,,11647.1,no,,15995.6,no 111-list site within 250 m; nearest 'ANTSELY TOBY CENTRE' at 11647 m
new,AMBALASARAKA,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.267092,45.667773,yes,no,,,,509.7,no,,9001.0,no 111-list site within 250 m; nearest 'AMBALASARAKA CENTRE' at 510 m
new,AMBORITRA/ TANALAVE BE,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.041255,44.711116,yes,no,,,,4812.8,no,,51202.2,no 111-list site within 250 m; nearest 'MALEBITSY CENTRE' at 4813 m
new,AMPAMATEMAHO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.731857,45.327256,yes,no,,,,3028.8,no,,13093.4,no 111-list site within 250 m; nearest 'ANKOBAY' at 3029 m
new,AMPANDRA,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.401035,45.269419,yes,no,,,,19574.9,no,,15294.9,no 111-list site within 250 m; nearest 'Vohitsosy' at 19575 m
new,AMPEHA CENTRE,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.232475,45.518164,yes,no,,,,12098.4,no,,16116.4,no 111-list site within 250 m; nearest 'ANTSELY TOBY CENTRE' at 12098 m
new,AMPILOFILO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.117944,45.524028,yes,no,,,,1031.4,no,,20954.6,no 111-list site within 250 m; nearest 'ANTSELY TOBY CENTRE' at 1031 m
new,AMPOTAKA SUD,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.069833,44.677194,yes,no,,,,473.0,no,,55862.6,no 111-list site within 250 m; nearest 'MALEBITSY CENTRE' at 473 m
new,ANDRANODILY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-25.102107,44.63981,yes,no,,,,5102.7,no,,61060.9,no 111-list site within 250 m; nearest 'MALEBITSY CENTRE' at 5103 m
new,ANDRANOTSIKIO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.756062,45.166574,yes,no,,,,7534.5,no,,290.7,no 111-list site within 250 m; nearest 'Vohibola' at 7534 m
new,ANIVORANO,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.599711,45.431849,yes,no,,,,4006.0,no,,9137.8,no 111-list site within 250 m; nearest 'Vatoarivo I' at 4006 m
new,ANKILIMILANGY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.963326,44.811123,yes,no,,,,18098.6,no,,37986.3,no 111-list site within 250 m; nearest 'MALEBITSY CENTRE' at 18099 m
