water_point,site,period_year,photo_date,image_id,days_not_operational,days_illegible,confidence,validated
773614497,Maroantsetra,2026,2026-03-20,1f1bd1a7e7c14dc78394af15bf7ae0c1,20,11,0.385,NO
774001555,Maroantsetra,2026,2026-07-20,44c20e24a21f45d4bbf7544bbc75e6b3,5,1,0.320,NO
774009687,Maroantsetra,2026,2026-06-05,4f9e4190cc194378bdbefaca0297c12d,15,4,0.212,NO
775756210,Maroantsetra,2026,2026-07-20,8aafe6ac155e48fc9f3d8d01a4774ba3,26,17,0.155,NO
775759299,Maroantsetra,2026,2026-06-10,bb4ddd3739ed40e9a4fefe90929d3a2a,11,1,0.217,NO
776596880,Maroantsetra,2026,2026-06-10,0921875b3a1e4eb8ae0ff436a57f0ddf,22,2,0.339,NO
777126165,Maroantsetra,2026,2026-06-10,8b1fb423343a47f1b079690fe6939439,20,1,0.196,NO
778246888,Maroantsetra,2026,2026-07-20,005b859349ea4819b535cfc42fe978e2,14,6,0.293,NO
778747750,Maroantsetra,2026,2026-07-20,17cf292311d74a71a41444973fbbc873,13,5,0.169,NO
779461066,Maroantsetra,2026,2026-07-20,8abbc2887b2a48298be7ca15f48ca1ec,12,0,0.240,NO
779461073,Maroantsetra,2026,2026-07-19,f9ef70a10e4b4b92954b26ac6fbe2364,23,9,0.146,NO
779506385,Maroantsetra,2026,2026-03-25,42a4cf0e66ed4ebd846723da4a5668f8,2,3,0.332,NO
780230042,Maroantsetra,2026,2026-07-04,44569570c10a4cc08fca756935c61703,19,13,0.090,NO
781940247,Maroantsetra,2026,2026-07-10,ecbb911675cb4119b47219aea0cd6584,19,2,0.367,NO
782134533,Maroantsetra,2026,2026-03-12,f7c7f2410c6147d7baca4b3a63495d8d,11,3,0.372,NO
783186036,unmapped,2026,2026-01-31,95cb2bf79cd24b158d006f616b39fa60,6,16,0.332,NO
783484655,Maroantsetra,2026,2026-07-09,ed2a89afcd1541ff934c0b835da9150a,25,8,0.317,NO
