water_point,site,sheet_year,sheets,first_photo,last_photo,days_covered,days_in_year,fraction_covered
742897414,Maroantsetra,2024,2,2025-12-06,2025-12-06,366,366,1.0
742897414,Maroantsetra,2025,1,2025-12-06,2025-12-06,340,365,0.9315
742897452,Maroantsetra,2024,2,2025-12-06,2025-12-06,366,366,1.0
742897524,Maroantsetra,2025,2,2025-09-28,2025-09-28,271,365,0.7425
742897548,Maroantsetra,2024,1,2025-09-25,2025-09-25,366,366,1.0
742897548,Maroantsetra,2025,1,2025-09-25,2025-09-25,268,365,0.7342
742897579,Maroantsetra,2024,1,2025-09-18,2025-09-18,366,366,1.0
742897579,Maroantsetra,2025,1,2025-09-18,2025-09-18,261,365,0.7151
742897586,Maroantsetra,2024,1,2025-09-29,2025-09-29,366,366,1.0
742897586,Maroantsetra,2025,1,2025-09-29,2025-09-29,272,365,0.7452
742897627,Maroantsetra,2024,1,2025-10-05,2025-10-05,366,366,1.0
742897627,Maroantsetra,2025,1,2025-10-05,2025-10-05,278,365,0.7616
742897641,Maroantsetra,2024,1,2025-09-20,2025-09-20,366,366,1.0
742897641,Maroantsetra,2026,1,2026-07-07,2026-07-07,188,365,0.5151
742897641,Maroantsetra,2027,1,2026-07-07,2026-07-07,0,365,0.0
742897658,Maroantsetra,2027,1,2026-03-25,2026-03-25,0,365,0.0
742897665,Maroantsetra,2024,1,2025-10-05,2025-10-05,366,366,1.0
742897665,Maroantsetra,2025,1,2025-10-05,2025-10-05,278,365,0.7616
742897689,Maroantsetra,2024,1,2025-09-19,2025-09-19,366,366,1.0
742897713,Maroantsetra,2026,1,2026-03-25,2026-03-25,84,365,0.2301
742897720,Maroantsetra,2024,1,2025-09-21,2025-09-21,366,366,1.0
742897720,Maroantsetra,2026,1,2025-09-21,2025-09-21,0,365,0.0
742897744,Maroantsetra,2025,1,2025-09-20,2025-09-20,263,365,0.7205
742897809,Maroantsetra,2025,1,2026-04-23,2026-04-23,365,365,1.0
742897823,Maroantsetra,2026,1,2026-03-25,2026-03-25,84,365,0.2301
742897823,Maroantsetra,2027,1,2026-03-25,2026-03-25,0,365,0.0
742897847,Maroantsetra,2024,1,2025-09-25,2025-09-25,366,366,1.0
742897847,Maroantsetra,2025,1,2025-09-25,2025-09-25,268,365,0.7342
742897878,Maroantsetra,2024,1,2026-06-20,2026-06-20,366,366,1.0
742897878,Maroantsetra,2025,3,2025-09-20,2025-12-29,363,365,0.9945
742897885,Maroantsetra,2024,1,2025-09-24,2025-09-24,366,366,1.0
742897885,Maroantsetra,2025,2,2025-09-24,2026-06-06,365,365,1.0
742897885,Maroantsetra,2026,1,2026-07-14,2026-07-14,195,365,0.5342
742897902,Maroantsetra,2025,1,2025-09-25,2025-09-25,268,365,0.7342
742897926,Maroantsetra,2026,2,2026-08-26,2026-08-26,238,365,0.6521
742897933,Maroantsetra,2026,1,2026-03-25,2026-03-25,84,365,0.2301
742897933,Maroantsetra,2027,1,2026-03-25,2026-03-25,0,365,0.0
742897971,Maroantsetra,2025,1,2025-09-26,2025-09-26,269,365,0.737
742897988,Maroantsetra,2025,1,2025-12-30,2025-12-30,364,365,0.9973
742897988,Maroantsetra,2027,1,2026-03-24,2026-03-24,0,365,0.0
742897995,Maroantsetra,2026,2,2026-03-24,2026-03-24,83,365,0.2274
742897995,Maroantsetra,2027,2,2026-03-24,2026-03-24,0,365,0.0
742898013,Maroantsetra,2026,1,2026-03-25,2026-03-25,84,365,0.2301
742898020,Maroantsetra,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742898020,Maroantsetra,2027,1,2026-03-27,2026-03-27,0,365,0.0
742898037,Maroantsetra,2027,1,2026-04-21,2026-04-21,0,365,0.0
742898044,Maroantsetra,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742898044,Maroantsetra,2027,1,2026-03-27,2026-03-27,0,365,0.0
742898068,Maroantsetra,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742898082,Maroantsetra,2026,2,2026-03-27,2026-05-21,141,365,0.3863
742898082,Maroantsetra,2027,1,2026-03-27,2026-03-27,0,365,0.0
742898109,Maroantsetra,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742972377,Maroantsetra,2027,1,2026-03-11,2026-03-11,0,365,0.0
763895314,Maroantsetra,2027,1,2026-06-12,2026-06-12,0,365,0.0
763895321,Maroantsetra,2026,1,2026-06-12,2026-06-12,163,365,0.4466
763895321,Maroantsetra,2027,1,2026-06-12,2026-06-12,0,365,0.0
764113653,Maroantsetra,2024,1,2026-03-13,2026-03-13,366,366,1.0
764113653,Maroantsetra,2025,1,2026-03-13,2026-03-13,365,365,1.0
764166242,Maroantsetra,2026,2,2026-06-12,2026-06-12,163,365,0.4466
764166242,Maroantsetra,2027,1,2026-06-12,2026-06-12,0,365,0.0
765855507,Maroantsetra,2027,1,2026-07-28,2026-07-28,0,365,0.0
767290205,Maroantsetra,2027,1,2026-07-25,2026-07-25,0,365,0.0
767290212,Maroantsetra,2026,1,2026-07-25,2026-07-25,206,365,0.5644
767290212,Maroantsetra,2027,1,2026-07-25,2026-07-25,0,365,0.0
768979123,Maroantsetra,2027,1,2026-07-30,2026-07-30,0,365,0.0
768991507,Maroantsetra,2026,1,2026-07-29,2026-07-29,210,365,0.5753
768991507,Maroantsetra,2027,1,2026-07-29,2026-07-29,0,365,0.0
769020855,Maroantsetra,2026,2,2026-07-30,2026-07-30,211,365,0.5781
769020855,Maroantsetra,2027,1,2026-07-30,2026-07-30,0,365,0.0
771580686,Maroantsetra,2027,1,2026-08-07,2026-08-07,0,365,0.0
771580693,Maroantsetra,2026,1,2026-04-21,2026-04-21,111,365,0.3041
771580693,Maroantsetra,2027,1,2026-04-21,2026-04-21,0,365,0.0
771580703,Maroantsetra,2026,1,2026-03-19,2026-03-19,78,365,0.2137
771580703,Maroantsetra,2027,1,2026-03-19,2026-03-19,0,365,0.0
771580710,Maroantsetra,2026,1,2026-03-13,2026-03-13,72,365,0.1973
771580710,Maroantsetra,2027,1,2026-03-13,2026-03-13,0,365,0.0
771580727,Maroantsetra,2025,2,2025-12-11,2026-02-18,365,365,1.0
771580727,Maroantsetra,2027,1,2026-03-17,2026-03-17,0,365,0.0
771580734,Maroantsetra,2026,1,2026-03-13,2026-03-13,72,365,0.1973
771580734,Maroantsetra,2027,1,2026-03-13,2026-03-13,0,365,0.0
771580741,Maroantsetra,2026,1,2026-03-17,2026-03-17,76,365,0.2082
771580741,Maroantsetra,2027,2,2026-03-17,2026-03-17,0,365,0.0
771783434,Maroantsetra,2024,1,2026-03-11,2026-03-11,366,366,1.0
771783434,Maroantsetra,2025,1,2026-03-11,2026-03-11,365,365,1.0
771783434,Maroantsetra,2027,1,2026-03-19,2026-03-19,0,365,0.0
771799231,Maroantsetra,2026,1,2026-08-12,2026-08-12,224,365,0.6137
771799231,Maroantsetra,2027,1,2026-08-12,2026-08-12,0,365,0.0
771799248,Maroantsetra,2027,1,2026-03-20,2026-03-20,0,365,0.0
771799255,Maroantsetra,2026,1,2026-08-12,2026-08-12,224,365,0.6137
771799255,Maroantsetra,2027,2,2026-03-18,2026-08-12,0,365,0.0
771799262,Maroantsetra,2026,1,2026-03-18,2026-03-18,77,365,0.211
771799262,Maroantsetra,2027,2,2026-03-18,2026-08-07,0,365,0.0
771799279,Maroantsetra,2026,1,2026-03-19,2026-03-19,78,365,0.2137
771799286,Maroantsetra,2027,1,2026-03-19,2026-03-19,0,365,0.0
771799293,Maroantsetra,2027,1,2026-08-19,2026-08-19,0,365,0.0
771799303,Maroantsetra,2026,1,2026-03-19,2026-03-19,78,365,0.2137
771799303,Maroantsetra,2027,1,2026-03-19,2026-03-19,0,365,0.0
772300771,Maroantsetra,2026,1,2026-06-11,2026-06-11,162,365,0.4438
772300771,Maroantsetra,2027,1,2026-06-11,2026-06-11,0,365,0.0
772365307,Maroantsetra,2026,1,2026-07-24,2026-07-24,205,365,0.5616
772365307,Maroantsetra,2027,1,2026-07-24,2026-07-24,0,365,0.0
772383873,Maroantsetra,2027,1,2026-07-23,2026-07-23,0,365,0.0
772741428,Maroantsetra,2026,1,2026-06-11,2026-06-11,162,365,0.4438
773024427,Maroantsetra,2027,1,2026-06-11,2026-06-11,0,365,0.0
773028603,Maroantsetra,2027,1,2026-06-10,2026-06-10,0,365,0.0
773042759,Maroantsetra,2024,1,2026-06-06,2026-06-06,366,366,1.0
773042759,Maroantsetra,2025,2,2026-06-06,2026-07-20,365,365,1.0
773044940,Maroantsetra,2026,1,2026-06-09,2026-06-09,160,365,0.4384
773597170,Maroantsetra,2026,1,2026-06-11,2026-06-11,162,365,0.4438
773597170,Maroantsetra,2027,1,2026-06-11,2026-06-11,0,365,0.0
773614497,Maroantsetra,2025,1,2026-03-20,2026-03-20,365,365,1.0
773614497,Maroantsetra,2026,1,2026-06-09,2026-06-09,160,365,0.4384
773614497,Maroantsetra,2027,1,2026-06-09,2026-06-09,0,365,0.0
774001555,Maroantsetra,2026,1,2026-05-20,2026-05-20,140,365,0.3836
774001555,Maroantsetra,2027,1,2026-05-20,2026-05-20,0,365,0.0
774009687,Maroantsetra,2026,2,2026-05-19,2026-06-05,156,365,0.4274
774009687,Maroantsetra,2027,2,2026-05-19,2026-06-05,0,365,0.0
775756210,Maroantsetra,2025,1,2026-07-20,2026-07-20,365,365,1.0
775756210,Maroantsetra,2026,1,2026-07-20,2026-07-20,201,365,0.5507
775759299,Maroantsetra,2026,2,2026-06-10,2026-07-29,210,365,0.5753
775759299,Maroantsetra,2027,1,2026-07-29,2026-07-29,0,365,0.0
776596880,Maroantsetra,2025,1,2026-06-10,2026-06-10,365,365,1.0
776596880,Maroantsetra,2026,1,2026-06-10,2026-06-10,161,365,0.4411
777126165,Maroantsetra,2025,1,2026-06-10,2026-06-10,365,365,1.0
777126165,Maroantsetra,2026,1,2026-06-10,2026-06-10,161,365,0.4411
778246888,Maroantsetra,2025,1,2026-07-20,2026-07-20,365,365,1.0
778246888,Maroantsetra,2026,1,2026-07-20,2026-07-20,201,365,0.5507
778747750,Maroantsetra,2026,1,2026-07-20,2026-07-20,201,365,0.5507
779461066,Maroantsetra,2025,1,2026-07-20,2026-07-20,365,365,1.0
779461066,Maroantsetra,2026,2,2026-07-20,2026-07-20,201,365,0.5507
779461073,Maroantsetra,2025,1,2026-07-19,2026-07-19,365,365,1.0
779506385,Maroantsetra,2026,1,2026-03-25,2026-03-25,84,365,0.2301
780230042,Maroantsetra,2025,1,2026-07-04,2026-07-04,365,365,1.0
780230042,Maroantsetra,2026,1,2026-07-04,2026-07-04,185,365,0.5068
781059150,Maroantsetra,2025,1,2026-07-04,2026-07-04,365,365,1.0
781059150,Maroantsetra,2026,1,2026-07-04,2026-07-04,185,365,0.5068
781126427,Maroantsetra,2026,1,2026-07-03,2026-07-03,184,365,0.5041
781940247,Maroantsetra,2026,2,2026-07-10,2026-07-10,191,365,0.5233
782134533,Maroantsetra,2026,1,2026-03-12,2026-03-12,71,365,0.1945
782134533,Maroantsetra,2027,1,2026-03-12,2026-03-12,0,365,0.0
783186074,unmapped,2027,1,2026-02-17,2026-02-17,0,365,0.0
783484655,Maroantsetra,2025,1,2026-07-09,2026-07-09,365,365,1.0
783761183,Maroantsetra,2026,2,2026-07-10,2026-07-10,191,365,0.5233
784302954,Maroantsetra,2025,1,2026-07-09,2026-07-09,365,365,1.0
786865303,Maroantsetra,2025,1,2026-07-09,2026-07-09,365,365,1.0
786872060,Maroantsetra,2026,3,2026-05-22,2026-06-03,154,365,0.4219
786872060,Maroantsetra,2027,1,2026-05-22,2026-05-22,0,365,0.0
791122592,Maroantsetra,2025,1,2026-07-03,2026-07-03,365,365,1.0
791122592,Maroantsetra,2026,1,2026-07-03,2026-07-03,184,365,0.5041
791617832,Maroantsetra,2025,1,2026-05-30,2026-05-30,365,365,1.0
791617832,Maroantsetra,2026,1,2026-05-30,2026-05-30,150,365,0.411
792022655,Maroantsetra,2026,3,2026-05-30,2026-05-30,150,365,0.411
792494830,Maroantsetra,2025,1,2026-05-30,2026-05-30,365,365,1.0
792494830,Maroantsetra,2026,1,2026-05-30,2026-05-30,150,365,0.411
792699587,Maroantsetra,2026,1,2026-05-20,2026-05-20,140,365,0.3836
792699587,Maroantsetra,2027,1,2026-05-20,2026-05-20,0,365,0.0
794012210,Maroantsetra,2026,1,2026-05-30,2026-05-30,150,365,0.411
794587460,Maroantsetra,2025,2,2026-05-29,2026-07-21,365,365,1.0
794587460,Maroantsetra,2026,2,2026-02-11,2026-05-29,149,365,0.4082
795836457,Maroantsetra,2025,2,2026-05-28,2026-05-28,365,365,1.0
795836457,Maroantsetra,2026,2,2026-05-28,2026-05-28,148,365,0.4055
797195301,Maroantsetra,2026,1,2026-05-23,2026-05-23,143,365,0.3918
797195301,Maroantsetra,2027,1,2026-05-23,2026-05-23,0,365,0.0
797885233,Maroantsetra,2025,1,2026-09-03,2026-09-03,365,365,1.0
797885233,Maroantsetra,2026,1,2026-05-29,2026-05-29,149,365,0.4082
799521955,Maroantsetra,2025,1,2026-05-29,2026-05-29,365,365,1.0
800634100,Maroantsetra,2025,1,2026-06-03,2026-06-03,365,365,1.0
803229680,Maroantsetra,2026,2,2026-05-29,2026-05-29,149,365,0.4082
805544226,Maroantsetra,2026,3,2026-02-23,2026-05-29,149,365,0.4082
805544226,Maroantsetra,2027,1,2026-05-19,2026-05-19,0,365,0.0
810377501,Maroantsetra,2025,1,2026-05-29,2026-05-29,365,365,1.0
810377501,Maroantsetra,2026,1,2026-05-29,2026-05-29,149,365,0.4082
810943803,Maroantsetra,2025,2,2026-02-28,2026-05-29,365,365,1.0
810943803,Maroantsetra,2026,2,2026-02-28,2026-05-29,149,365,0.4082
812862094,Maroantsetra,2025,1,2026-06-03,2026-06-03,365,365,1.0
812862094,Maroantsetra,2026,1,2026-06-03,2026-06-03,154,365,0.4219
813642325,Maroantsetra,2025,1,2026-06-18,2026-06-18,365,365,1.0
813642325,Maroantsetra,2026,2,2026-06-18,2026-06-18,169,365,0.463
813933184,Maroantsetra,2025,1,2026-06-24,2026-06-24,365,365,1.0
813933184,Maroantsetra,2026,1,2026-06-24,2026-06-24,175,365,0.4795
815132789,Maroantsetra,2025,1,2026-06-24,2026-06-24,365,365,1.0
815132789,Maroantsetra,2026,1,2026-06-24,2026-06-24,175,365,0.4795
816234895,Maroantsetra,2025,1,2026-06-18,2026-06-18,365,365,1.0
816234895,Maroantsetra,2026,1,2026-06-18,2026-06-18,169,365,0.463
817548803,Maroantsetra,2025,1,2026-06-16,2026-06-16,365,365,1.0
817548803,Maroantsetra,2026,1,2026-06-16,2026-06-16,167,365,0.4575
819378051,Maroantsetra,2025,2,2026-05-21,2026-06-17,365,365,1.0
819378051,Maroantsetra,2026,2,2026-05-21,2026-06-17,168,365,0.4603
820198370,Maroantsetra,2025,1,2026-06-16,2026-06-16,365,365,1.0
820198370,Maroantsetra,2026,1,2026-06-16,2026-06-16,167,365,0.4575
820780971,Maroantsetra,2025,3,2026-05-21,2026-06-16,365,365,1.0
820780971,Maroantsetra,2026,3,2026-05-21,2026-06-16,167,365,0.4575
822906175,Maroantsetra,2025,1,2026-06-04,2026-06-04,365,365,1.0
822906175,Maroantsetra,2026,1,2026-06-04,2026-06-04,155,365,0.4247
823946480,Maroantsetra,2025,1,2026-06-04,2026-06-04,365,365,1.0
824580917,Maroantsetra,2026,1,2026-06-04,2026-06-04,155,365,0.4247
825367379,Maroantsetra,2025,1,2026-06-25,2026-06-25,365,365,1.0
825367379,Maroantsetra,2026,1,2026-06-25,2026-06-25,176,365,0.4822
833032630,Maroantsetra,2026,1,2026-07-30,2026-07-30,211,365,0.5781
833032630,Maroantsetra,2027,1,2026-07-30,2026-07-30,0,365,0.0
833032647,Maroantsetra,2026,2,2026-05-28,2026-06-11,162,365,0.4438
833032647,Maroantsetra,2027,1,2026-06-11,2026-06-11,0,365,0.0
833032654,Maroantsetra,2026,1,2026-07-22,2026-07-22,203,365,0.5562
833032654,Maroantsetra,2027,1,2026-07-22,2026-07-22,0,365,0.0
833032661,Maroantsetra,2026,1,2026-06-11,2026-06-11,162,365,0.4438
833032678,Maroantsetra,2027,1,2026-07-24,2026-07-24,0,365,0.0
833032685,unmapped,2026,2,2026-07-23,2026-07-23,204,365,0.5589
833032685,unmapped,2027,1,2026-07-23,2026-07-23,0,365,0.0
833032692,Maroantsetra,2026,1,2026-07-23,2026-07-23,204,365,0.5589
833032702,Maroantsetra,2026,1,2026-06-09,2026-06-09,160,365,0.4384
833032702,Maroantsetra,2027,1,2026-06-09,2026-06-09,0,365,0.0
833032764,Maroantsetra,2025,1,2025-12-16,2025-12-16,350,365,0.9589
833032771,Maroantsetra,2024,2,2025-12-06,2026-06-06,366,366,1.0
833032771,Maroantsetra,2025,1,2025-12-06,2025-12-06,340,365,0.9315
833032812,Maroantsetra,2026,1,2026-07-19,2026-07-19,200,365,0.5479
833032836,Maroantsetra,2027,1,2026-07-19,2026-07-19,0,365,0.0
833032867,Maroantsetra,2024,1,2026-06-05,2026-06-05,366,366,1.0
833032867,Maroantsetra,2025,1,2026-06-05,2026-06-05,365,365,1.0
833032946,Maroantsetra,2027,1,2026-06-10,2026-06-10,0,365,0.0
833032953,Maroantsetra,2026,1,2026-06-10,2026-06-10,161,365,0.4411
833032984,Maroantsetra,2025,1,2026-07-19,2026-07-19,365,365,1.0
833033002,Maroantsetra,2026,1,2026-07-19,2026-07-19,200,365,0.5479
833033019,Maroantsetra,2025,1,2026-06-05,2026-06-05,365,365,1.0
833033040,Maroantsetra,2025,1,2026-07-03,2026-07-03,365,365,1.0
833033064,Maroantsetra,2025,2,2026-03-02,2026-07-10,365,365,1.0
833033064,Maroantsetra,2026,2,2026-03-02,2026-07-10,191,365,0.5233
833033095,Maroantsetra,2025,1,2026-07-09,2026-07-09,365,365,1.0
833033105,Maroantsetra,2025,1,2026-07-10,2026-07-10,365,365,1.0
833033105,Maroantsetra,2026,2,2026-07-10,2026-07-10,191,365,0.5233
833033208,Maroantsetra,2025,1,2026-05-29,2026-05-29,365,365,1.0
833033208,Maroantsetra,2026,1,2026-05-29,2026-05-29,149,365,0.4082
833033246,Maroantsetra,2026,2,2026-05-22,2026-05-29,149,365,0.4082
897922492,Maroantsetra,2025,1,2026-06-25,2026-06-25,365,365,1.0
897922492,Maroantsetra,2026,1,2026-06-25,2026-06-25,176,365,0.4822
897922519,Maroantsetra,2026,1,2026-06-19,2026-06-19,170,365,0.4658
897922595,Maroantsetra,2026,1,2026-06-25,2026-06-25,176,365,0.4822
905251190,Maroantsetra,2025,1,2026-06-25,2026-06-25,365,365,1.0
905251190,Maroantsetra,2026,1,2026-06-25,2026-06-25,176,365,0.4822
905251200,Maroantsetra,2026,2,2026-06-24,2026-06-24,175,365,0.4795
905251217,Maroantsetra,2025,1,2026-06-24,2026-06-24,365,365,1.0
905251217,Maroantsetra,2026,1,2026-06-24,2026-06-24,175,365,0.4795
905251224,Maroantsetra,2025,1,2026-06-25,2026-06-25,365,365,1.0
905251224,Maroantsetra,2026,1,2026-06-25,2026-06-25,176,365,0.4822
905251248,Maroantsetra,2025,1,2026-06-18,2026-06-18,365,365,1.0
905251248,Maroantsetra,2026,1,2026-06-18,2026-06-18,169,365,0.463
905251255,Maroantsetra,2025,1,2026-06-16,2026-06-16,365,365,1.0
905251262,Maroantsetra,2025,1,2026-09-03,2026-09-03,365,365,1.0
905251262,Maroantsetra,2026,1,2026-06-16,2026-06-16,167,365,0.4575
905251279,Maroantsetra,2025,2,2026-03-10,2026-06-16,365,365,1.0
905251279,Maroantsetra,2026,1,2026-03-10,2026-03-10,69,365,0.189
905251293,Maroantsetra,2025,1,2026-06-17,2026-06-17,365,365,1.0
905251293,Maroantsetra,2026,2,2026-06-17,2026-06-17,168,365,0.4603
905251327,Maroantsetra,2025,1,2026-06-04,2026-06-04,365,365,1.0
905251327,Maroantsetra,2026,1,2026-06-04,2026-06-04,155,365,0.4247
905251372,Maroantsetra,2026,1,2026-06-04,2026-06-04,155,365,0.4247
905251396,Maroantsetra,2025,1,2025-12-15,2025-12-15,349,365,0.9562
905251396,Maroantsetra,2026,2,2025-12-15,2026-06-03,154,365,0.4219
