water_point,site,sheet_year,sheets,first_photo,last_photo,days_covered,days_in_year,fraction_covered
698772331,Maroantsetra,2026,1,2026-02-12,2026-02-12,43,365,0.1178
698772348,Maroantsetra,2026,1,2026-02-13,2026-02-13,44,365,0.1205
698772348,Maroantsetra,2027,1,2026-02-13,2026-02-13,0,365,0.0
698773617,Maroantsetra,2026,1,2026-02-13,2026-02-13,44,365,0.1205
698773617,Maroantsetra,2027,1,2026-02-13,2026-02-13,0,365,0.0
698773631,Maroantsetra,2026,2,2026-04-21,2026-09-03,246,365,0.674
698773648,Maroantsetra,2027,1,2026-02-17,2026-02-17,0,365,0.0
698774003,Maroantsetra,2027,1,2026-03-03,2026-03-03,0,365,0.0
698795345,Maroantsetra,2026,1,2026-09-11,2026-09-11,254,365,0.6959
698795345,Maroantsetra,2027,1,2026-09-11,2026-09-11,0,365,0.0
699595632,Maroantsetra,2027,1,2026-03-12,2026-03-12,0,365,0.0
699595649,Maroantsetra,2026,1,2026-05-19,2026-05-19,139,365,0.3808
699595649,Maroantsetra,2027,1,2026-03-13,2026-03-13,0,365,0.0
699595711,Maroantsetra,2026,1,2026-03-12,2026-03-12,71,365,0.1945
699595711,Maroantsetra,2027,1,2026-03-12,2026-03-12,0,365,0.0
699595759,Maroantsetra,2026,1,2026-03-12,2026-03-12,71,365,0.1945
699595759,Maroantsetra,2027,1,2026-03-12,2026-03-12,0,365,0.0
699595845,Maroantsetra,2025,1,2025-12-25,2025-12-25,359,365,0.9836
699595845,Maroantsetra,2027,2,2026-03-11,2026-07-01,0,365,0.0
699595869,Maroantsetra,2026,1,2026-03-19,2026-03-19,78,365,0.2137
699595869,Maroantsetra,2027,1,2026-03-19,2026-03-19,0,365,0.0
699595876,Maroantsetra,2026,1,2026-04-21,2026-04-21,111,365,0.3041
699595876,Maroantsetra,2027,1,2026-04-21,2026-04-21,0,365,0.0
699595883,Maroantsetra,2027,1,2026-03-17,2026-03-17,0,365,0.0
699595900,Maroantsetra,2026,1,2026-03-19,2026-03-19,78,365,0.2137
699595948,Maroantsetra,2027,1,2026-03-12,2026-03-12,0,365,0.0
699595955,Maroantsetra,2025,1,2025-12-09,2025-12-09,343,365,0.9397
699595986,Maroantsetra,2025,1,2025-12-12,2025-12-12,346,365,0.9479
699596004,Maroantsetra,2024,1,2025-12-12,2025-12-12,366,366,1.0
699596004,Maroantsetra,2025,1,2025-12-12,2025-12-12,346,365,0.9479
699596028,Maroantsetra,2024,1,2025-12-11,2025-12-11,366,366,1.0
699596035,Maroantsetra,2025,2,2025-12-11,2025-12-11,345,365,0.9452
699596059,Maroantsetra,2024,1,2025-12-17,2025-12-17,366,366,1.0
699596664,Maroantsetra,2024,1,2025-12-23,2025-12-23,366,366,1.0
699596664,Maroantsetra,2025,1,2025-12-23,2025-12-23,357,365,0.9781
699596671,Maroantsetra,2024,2,2025-12-13,2025-12-23,366,366,1.0
699596671,Maroantsetra,2025,3,2025-12-13,2026-09-03,365,365,1.0
699596688,Maroantsetra,2024,1,2025-12-23,2025-12-23,366,366,1.0
699596695,Maroantsetra,2024,1,2025-12-19,2025-12-19,366,366,1.0
699596705,Maroantsetra,2024,1,2025-12-23,2025-12-23,366,366,1.0
699596705,Maroantsetra,2025,1,2025-12-23,2025-12-23,357,365,0.9781
699596712,Maroantsetra,2024,1,2026-01-11,2026-01-11,366,366,1.0
699596712,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
699596729,Maroantsetra,2024,1,2026-01-11,2026-01-11,366,366,1.0
699596729,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
699596736,Maroantsetra,2024,1,2026-01-11,2026-01-11,366,366,1.0
699596736,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
699596743,Maroantsetra,2024,1,2026-01-11,2026-01-11,366,366,1.0
699596743,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
699596750,Maroantsetra,2024,1,2026-01-12,2026-01-12,366,366,1.0
699596750,Maroantsetra,2025,1,2026-01-12,2026-01-12,365,365,1.0
699596750,Maroantsetra,2026,1,2026-05-19,2026-05-19,139,365,0.3808
699596750,Maroantsetra,2027,2,2026-05-19,2026-08-20,0,365,0.0
699596781,Maroantsetra,2025,1,2026-01-15,2026-01-15,365,365,1.0
699596808,Maroantsetra,2024,1,2026-01-12,2026-01-12,366,366,1.0
699596808,Maroantsetra,2025,1,2026-01-12,2026-01-12,365,365,1.0
699596815,Maroantsetra,2024,1,2026-01-15,2026-01-15,366,366,1.0
699596815,Maroantsetra,2025,1,2026-01-15,2026-01-15,365,365,1.0
699596853,Maroantsetra,2025,1,2026-01-15,2026-01-15,365,365,1.0
699596877,Maroantsetra,2024,1,2026-01-19,2026-01-19,366,366,1.0
699596891,Maroantsetra,2024,1,2026-01-26,2026-01-26,366,366,1.0
699596891,Maroantsetra,2025,1,2026-01-26,2026-01-26,365,365,1.0
699596901,Maroantsetra,2024,1,2026-01-26,2026-01-26,366,366,1.0
699596918,Maroantsetra,2024,1,2026-01-27,2026-01-27,366,366,1.0
699596925,Maroantsetra,2025,1,2026-01-27,2026-01-27,365,365,1.0
699596932,Maroantsetra,2024,1,2026-01-27,2026-01-27,366,366,1.0
699596956,Maroantsetra,2024,1,2026-01-31,2026-01-31,366,366,1.0
699596956,Maroantsetra,2025,1,2026-01-31,2026-01-31,365,365,1.0
699596963,Maroantsetra,2024,1,2026-01-31,2026-01-31,366,366,1.0
699596970,Maroantsetra,2024,1,2026-02-01,2026-02-01,366,366,1.0
699596970,Maroantsetra,2025,1,2026-02-01,2026-02-01,365,365,1.0
699596994,Maroantsetra,2024,1,2026-02-02,2026-02-02,366,366,1.0
699597012,Maroantsetra,2026,1,2026-02-12,2026-02-12,43,365,0.1178
699597012,Maroantsetra,2027,1,2026-02-12,2026-02-12,0,365,0.0
699597029,Maroantsetra,2026,1,2026-02-10,2026-02-10,41,365,0.1123
699597029,Maroantsetra,2027,1,2026-02-10,2026-02-10,0,365,0.0
699597043,Maroantsetra,2025,1,2026-02-03,2026-02-03,365,365,1.0
699597043,Maroantsetra,2026,1,2026-02-03,2026-02-03,34,365,0.0932
699597050,Maroantsetra,2027,1,2026-02-12,2026-02-12,0,365,0.0
699597067,Maroantsetra,2026,1,2026-02-11,2026-02-11,42,365,0.1151
699597067,Maroantsetra,2027,1,2026-02-11,2026-02-11,0,365,0.0
699597081,Maroantsetra,2025,1,2026-02-03,2026-02-03,365,365,1.0
699597081,Maroantsetra,2026,2,2026-07-14,2026-07-14,195,365,0.5342
699597108,Maroantsetra,2027,1,2026-02-13,2026-02-13,0,365,0.0
699597115,Maroantsetra,2026,1,2026-02-13,2026-02-13,44,365,0.1205
699597115,Maroantsetra,2027,1,2026-02-13,2026-02-13,0,365,0.0
699597122,Maroantsetra,2027,1,2026-02-18,2026-02-18,0,365,0.0
699597335,Maroantsetra,2025,1,2026-02-20,2026-02-20,365,365,1.0
699597366,Maroantsetra,2027,1,2026-02-24,2026-02-24,0,365,0.0
699597407,Maroantsetra,2026,1,2026-06-06,2026-06-06,157,365,0.4301
699597407,Maroantsetra,2027,1,2026-02-25,2026-02-25,0,365,0.0
699597421,Maroantsetra,2026,2,2026-02-25,2026-07-14,195,365,0.5342
699597421,Maroantsetra,2027,1,2026-02-25,2026-02-25,0,365,0.0
699597438,Maroantsetra,2026,1,2026-02-25,2026-02-25,56,365,0.1534
699597452,Maroantsetra,2026,1,2026-02-26,2026-02-26,57,365,0.1562
699597469,Maroantsetra,2027,2,2026-02-26,2026-03-07,0,365,0.0
699597476,Maroantsetra,2027,2,2026-02-26,2026-02-26,0,365,0.0
699597490,Maroantsetra,2026,1,2026-03-03,2026-03-03,62,365,0.1699
699597490,Maroantsetra,2027,1,2026-03-03,2026-03-03,0,365,0.0
699597500,Maroantsetra,2026,1,2026-03-04,2026-03-04,63,365,0.1726
699597500,Maroantsetra,2027,1,2026-03-04,2026-03-04,0,365,0.0
699597531,Maroantsetra,2026,2,2026-03-04,2026-08-10,222,365,0.6082
699597531,Maroantsetra,2027,2,2026-03-04,2026-08-10,0,365,0.0
699597548,Maroantsetra,2027,1,2026-03-04,2026-03-04,0,365,0.0
699597555,Maroantsetra,2027,1,2026-02-27,2026-02-27,0,365,0.0
699597562,Maroantsetra,2024,2,2025-12-11,2026-01-30,366,366,1.0
699597562,Maroantsetra,2025,2,2025-12-11,2026-01-30,365,365,1.0
699597562,Maroantsetra,2026,1,2026-06-12,2026-06-12,163,365,0.4466
699597562,Maroantsetra,2027,1,2026-03-05,2026-03-05,0,365,0.0
699597579,Maroantsetra,2027,1,2026-03-05,2026-03-05,0,365,0.0
699597593,Maroantsetra,2024,1,2026-01-30,2026-01-30,366,366,1.0
699597593,Maroantsetra,2025,1,2026-01-30,2026-01-30,365,365,1.0
699597593,Maroantsetra,2026,1,2026-03-05,2026-03-05,64,365,0.1753
699597603,Maroantsetra,2026,2,2026-07-31,2026-07-31,212,365,0.5808
699597971,Maroantsetra,2026,1,2026-05-22,2026-05-22,142,365,0.389
699597971,Maroantsetra,2027,1,2026-05-22,2026-05-22,0,365,0.0
742893805,Fort-Dauphin,2025,2,2025-12-16,2026-03-16,365,365,1.0
742893805,Fort-Dauphin,2026,1,2026-04-30,2026-04-30,120,365,0.3288
742893836,Fort-Dauphin,2026,2,2026-02-25,2026-05-21,141,365,0.3863
742893843,Fort-Dauphin,2026,2,2026-01-23,2026-05-16,136,365,0.3726
742893850,Fort-Dauphin,2026,2,2026-01-23,2026-01-28,28,365,0.0767
742893867,Fort-Dauphin,2026,4,2026-01-16,2026-09-07,250,365,0.6849
742893898,Fort-Dauphin,2026,1,2026-02-25,2026-02-25,56,365,0.1534
742893915,Fort-Dauphin,2026,1,2026-03-10,2026-03-10,69,365,0.189
742893922,Fort-Dauphin,2026,2,2026-05-21,2026-05-21,141,365,0.3863
742893946,Fort-Dauphin,2026,5,2026-02-05,2026-08-31,243,365,0.6658
742893953,Fort-Dauphin,2026,6,2026-01-16,2026-09-07,250,365,0.6849
742893960,Fort-Dauphin,2026,3,2026-02-26,2026-08-31,243,365,0.6658
742893977,Fort-Dauphin,2026,1,2026-08-31,2026-08-31,243,365,0.6658
742893991,Fort-Dauphin,2026,1,2026-01-22,2026-01-22,22,365,0.0603
742894026,Fort-Dauphin,2026,4,2026-01-14,2026-02-19,50,365,0.137
742894033,Fort-Dauphin,2026,2,2026-02-25,2026-09-08,251,365,0.6877
742894040,Fort-Dauphin,2026,1,2026-06-06,2026-06-06,157,365,0.4301
742894064,Fort-Dauphin,2026,1,2026-02-27,2026-02-27,58,365,0.1589
742894095,Fort-Dauphin,2026,2,2026-03-19,2026-09-02,245,365,0.6712
742894105,Fort-Dauphin,2026,1,2026-03-19,2026-03-19,78,365,0.2137
742894150,Fort-Dauphin,2026,1,2026-05-16,2026-05-16,136,365,0.3726
742894181,Fort-Dauphin,2026,1,2026-02-26,2026-02-26,57,365,0.1562
742894198,Fort-Dauphin,2026,1,2026-02-27,2026-02-27,58,365,0.1589
742894208,Fort-Dauphin,2026,1,2026-03-06,2026-03-06,65,365,0.1781
742894239,Fort-Dauphin,2026,1,2026-03-23,2026-03-23,82,365,0.2247
742894260,Fort-Dauphin,2026,1,2026-03-20,2026-03-20,79,365,0.2164
742894284,Fort-Dauphin,2026,4,2026-01-24,2026-09-07,250,365,0.6849
742894291,Fort-Dauphin,2026,1,2026-03-20,2026-03-20,79,365,0.2164
742894356,Fort-Dauphin,2026,2,2026-02-13,2026-02-13,44,365,0.1205
742894387,Fort-Dauphin,2025,1,2026-01-12,2026-01-12,365,365,1.0
742894387,Fort-Dauphin,2026,1,2026-01-29,2026-01-29,29,365,0.0795
742894411,Fort-Dauphin,2026,2,2026-03-11,2026-09-02,245,365,0.6712
742894428,Fort-Dauphin,2026,1,2026-03-11,2026-03-11,70,365,0.1918
742894435,Fort-Dauphin,2026,1,2026-03-11,2026-03-11,70,365,0.1918
742894459,Fort-Dauphin,2025,1,2025-12-20,2025-12-20,354,365,0.9699
742894459,Fort-Dauphin,2026,2,2026-03-10,2026-06-04,155,365,0.4247
742894466,Fort-Dauphin,2025,1,2026-09-07,2026-09-07,365,365,1.0
742894466,Fort-Dauphin,2026,1,2026-03-23,2026-03-23,82,365,0.2247
742894473,Fort-Dauphin,2026,1,2026-09-02,2026-09-02,245,365,0.6712
742894497,Fort-Dauphin,2026,1,2026-09-07,2026-09-07,250,365,0.6849
742894538,Fort-Dauphin,2026,1,2026-02-07,2026-02-07,38,365,0.1041
742894552,Fort-Dauphin,2026,1,2026-03-12,2026-03-12,71,365,0.1945
742894569,Fort-Dauphin,2026,1,2026-01-23,2026-01-23,23,365,0.063
742894648,Fort-Dauphin,2026,4,2026-01-15,2026-09-02,245,365,0.6712
742894662,Fort-Dauphin,2026,1,2026-05-22,2026-05-22,142,365,0.389
742894693,Fort-Dauphin,2026,1,2026-01-23,2026-01-23,23,365,0.063
742894734,Fort-Dauphin,2026,1,2026-02-16,2026-02-16,47,365,0.1288
742894758,Fort-Dauphin,2027,1,2026-03-27,2026-03-27,0,365,0.0
742894772,Fort-Dauphin,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742894789,Fort-Dauphin,2027,1,2026-05-22,2026-05-22,0,365,0.0
742894796,Fort-Dauphin,2026,1,2026-05-22,2026-05-22,142,365,0.389
742894813,Fort-Dauphin,2026,1,2026-03-27,2026-03-27,86,365,0.2356
742894820,Fort-Dauphin,2026,1,2026-03-26,2026-03-26,85,365,0.2329
742894844,Fort-Dauphin,2026,3,2025-12-18,2026-05-15,135,365,0.3699
742894851,Fort-Dauphin,2025,1,2026-03-26,2026-03-26,365,365,1.0
742894868,Fort-Dauphin,2026,1,2026-06-25,2026-06-25,176,365,0.4822
742894868,Fort-Dauphin,2027,1,2026-03-26,2026-03-26,0,365,0.0
742894909,Fort-Dauphin,2026,1,2026-03-24,2026-03-24,83,365,0.2274
742894916,Fort-Dauphin,2026,2,2026-03-25,2026-05-15,135,365,0.3699
742894923,Fort-Dauphin,2026,1,2026-05-15,2026-05-15,135,365,0.3699
742894930,Fort-Dauphin,2026,1,2026-03-25,2026-03-25,84,365,0.2301
742894978,Fort-Dauphin,2026,4,2026-01-12,2026-06-01,152,365,0.4164
742894985,Fort-Dauphin,2026,2,2026-01-12,2026-06-01,152,365,0.4164
742895034,Fort-Dauphin,2026,2,2026-02-04,2026-03-24,83,365,0.2274
742895137,Fort-Dauphin,2026,1,2026-03-25,2026-03-25,84,365,0.2301
742895151,Fort-Dauphin,2026,1,2026-03-12,2026-03-12,71,365,0.1945
742895168,Fort-Dauphin,2026,1,2026-09-10,2026-09-10,253,365,0.6932
